197990 instructions, 127 bytes of output, saving as 'prog-2894.b'
10269 instructions, 3 bytes of output, saving as 'prog-8271.b'
324894 instructions, 484 bytes of output, saving as 'prog-5158.b'
11202 instructions, 4 bytes of output, saving as 'prog-1830.b'
3698450 instructions, 1034 bytes of output, saving as 'prog-2220.b'
653086 instructions, 2 bytes of output, saving as 'prog-7146.b'
432443 instructions, 5 bytes of output, saving as 'prog-1215.b'
68158 instructions, 47 bytes of output, saving as 'prog-3276.b'
13260 instructions, 7 bytes of output, saving as 'prog-8987.b'
83298 instructions, 111 bytes of output, saving as 'prog-8595.b'
18846 instructions, 11 bytes of output, saving as 'prog-9184.b'
115362 instructions, 92 bytes of output, saving as 'prog-4248.b'
32375 instructions, 23 bytes of output, saving as 'prog-8819.b'
1219008 instructions, 486 bytes of output, saving as 'prog-9514.b'
195639 instructions, 660 bytes of output, saving as 'prog-1493.b'
16060 instructions, 19 bytes of output, saving as 'prog-1488.b'
284353 instructions, 153 bytes of output, saving as 'prog-4188.b'
93373 instructions, 88 bytes of output, saving as 'prog-5572.b'
21101 instructions, 444 bytes of output, saving as 'prog-2049.b'
46956 instructions, 110 bytes of output, saving as 'prog-1888.b'
139621 instructions, 586 bytes of output, saving as 'prog-2525.b'
2019541 instructions, 1053 bytes of output, saving as 'prog-9453.b'
11555 instructions, 487 bytes of output, saving as 'prog-0910.b'
24568 instructions, 2891 bytes of output, saving as 'prog-0895.b'
67828 instructions, 59 bytes of output, saving as 'prog-5898.b'
25731 instructions, 1281 bytes of output, saving as 'prog-0015.b'
1165683 instructions, 1446 bytes of output, saving as 'prog-1561.b'
52287 instructions, 1764 bytes of output, saving as 'prog-0304.b'
613212 instructions, 4 bytes of output, saving as 'prog-2133.b'
95166 instructions, 4 bytes of output, saving as 'prog-9462.b'
18840 instructions, 5 bytes of output, saving as 'prog-0455.b'
595205 instructions, 2 bytes of output, saving as 'prog-5240.b'
326932 instructions, 1045 bytes of output, saving as 'prog-6823.b'
95020 instructions, 94 bytes of output, saving as 'prog-0281.b'
56419 instructions, 214 bytes of output, saving as 'prog-2786.b'
13270 instructions, 2 bytes of output, saving as 'prog-0062.b'
10919 instructions, 4 bytes of output, saving as 'prog-2795.b'
10348 instructions, 4 bytes of output, saving as 'prog-8270.b'
19372 instructions, 824 bytes of output, saving as 'prog-1835.b'
173844 instructions, 111 bytes of output, saving as 'prog-1137.b'
39571 instructions, 1972 bytes of output, saving as 'prog-8251.b'
570923 instructions, 2 bytes of output, saving as 'prog-6509.b'
1032970 instructions, 3 bytes of output, saving as 'prog-7876.b'
177949 instructions, 2 bytes of output, saving as 'prog-7296.b'
